model,parameter,mean,sd,hdi_low,hdi_high,note
M1_pooled,alpha (intercept),9.83106803894043,0.6860142350196838,8.52131175994873,11.183064460754395,grade points
M1_pooled,beta[past failures],-1.3500680923461914,0.217603400349617,-1.7690160274505615,-0.9154921174049377,per 1 SD (0.74)
M1_pooled,beta[absences (log1p)],0.7806558609008789,0.207829549908638,0.3691202700138092,1.1811208724975586,per 1 SD (1.06)
M1_pooled,beta[weekly study time],0.14671625196933746,0.20774029195308685,-0.2496475875377655,0.5517966151237488,per 1 SD (0.84)
M1_pooled,beta[wants higher educ.],0.6138497591018677,0.690880537033081,-0.7451350688934326,1.9441314935684204,yes vs no
M1_pooled,beta[going out],-0.5325767993927002,0.20743803679943085,-0.9383553266525269,-0.12548783421516418,per 1 SD (1.11)
M1_pooled,beta[mother's education],0.5768961310386658,0.21095673739910126,0.14040660858154297,0.9639362096786499,per 1 SD (1.09)
M1_pooled,sigma (residual sd),4.152794361114502,0.14937908947467804,3.8787190914154053,4.46173095703125,grade points
M2_hier,alpha (intercept),9.96682071685791,1.1044666767120361,7.917735576629639,12.252456665039062,grade points
M2_hier,beta[past failures],-1.3958173990249634,0.22000396251678467,-1.8101744651794434,-0.9545117020606995,per 1 SD (0.74)
M2_hier,beta[absences (log1p)],0.7906175255775452,0.2060265690088272,0.3939703106880188,1.199270486831665,per 1 SD (1.06)
M2_hier,beta[weekly study time],0.15576545894145966,0.20804035663604736,-0.26017650961875916,0.5603269934654236,per 1 SD (0.84)
M2_hier,beta[wants higher educ.],0.5598806142807007,0.7122597694396973,-0.8053520321846008,1.9516280889511108,yes vs no
M2_hier,beta[going out],-0.5523244738578796,0.21001407504081726,-0.9816955327987671,-0.167652428150177,per 1 SD (1.11)
M2_hier,beta[mother's education],0.46870213747024536,0.24855558574199677,-0.007298202719539404,0.9570615291595459,per 1 SD (1.09)
M2_hier,sigma (residual sd),4.1250128746032715,0.14637954533100128,3.835418462753296,4.409564971923828,grade points
M2_hier,sigma_school,0.9006004929542542,0.8637569546699524,5.681955371983349e-05,2.7067253589630127,between-school sd
M2_hier,sigma_mjob,0.8905880451202393,0.5677286982536316,0.0006001796573400497,1.929283618927002,between-Mjob sd
M2_hier,a_school[GP],-0.03298867493867874,0.821976363658905,-1.6982529163360596,1.7840402126312256,varying intercept
M2_hier,a_school[MS],0.057622216641902924,0.8270244002342224,-1.62588632106781,1.8697917461395264,varying intercept
M2_hier,a_mjob[at_home],-0.43324756622314453,0.6401429772377014,-1.848961591720581,0.6854285001754761,varying intercept
M2_hier,a_mjob[health],0.6525126695632935,0.7095202207565308,-0.5146843791007996,2.1824777126312256,varying intercept
M2_hier,a_mjob[other],-0.3597103953361511,0.5659909844398499,-1.5547468662261963,0.7162008881568909,varying intercept
M2_hier,a_mjob[services],0.5002860426902771,0.5808781385421753,-0.5954122543334961,1.679561734199524,varying intercept
M2_hier,a_mjob[teacher],-0.3321346938610077,0.615807831287384,-1.6469542980194092,0.8561124801635742,varying intercept
